Type,Name,Accuracy,Time_in_ms
dictionary_based,ContractableBOSS,100.00,1084.69
dictionary_based,IndividualBOSS,60.00,44.97
dictionary_based,BOSSEnsemble,100.00,2334.08
distance_based,KNeighborsTimeSeriesClassifier,40.00,32.00
distance_based,ElasticEnsemble,80.00,30298.10
distance_based,ProximityForest,100.00,59072.93
hybrid,HIVECOTEV2,100.00,30701.66
interval_based,TimeSeriesForestClassifier,100.00,66.04
interval_based,RandomIntervalSpectralEnsemble,100.00,2831.26
shapelet_based,ShapeletTransformClassifier,80.00,347.00
